State_UT,Intermediate/ Senior Secondary Schools ,High/ Secondary Schools,Upper Primary Schools,Primary Schools,Avg
Andhra Pradesh,90,96,88,93,91.75
Arunachal Pradesh,60,34,16,7,29.25
Assam,29,29,41,83,45.5
Bihar ,95,98,90,85,92
Chhattisgarh,78,70,73,72,73.25
Goa,92,100,100,94,96.5
Gujarat,100,100,100,0,75
Haryana,97,94,85,95,92.75
Himachal Pradesh,100,100,100,100,100
Jammu & Kashmir,59,54,48,40,50.25
Jharkhand,100,100,100,100,100
Karnataka,100,100,100,100,100
Kerala,100,100,100,100,100
Madhya Pradesh,79,78,80,84,80.25
Maharashtra,99,96,96,99,97.5
Manipur,47,44,36,35,40.5
Meghalaya,36,36,36,45,38.25
Mizoram,34,43,51,42,42.5
Nagaland,32,25,19,24,25
Odisha,100,93,91,88,93
Punjab,100,100,100,100,100
Rajasthan,72,84,81,86,80.75
Sikkim,58,55,42,68,55.75
Tamil Nadu,100,100,75,75,87.5
Tripura,75,64,74,82,73.75
Uttar Pradesh,97,97,95,98,96.75
Uttarakhand,53,100,100,100,88.25
West Bengal,91,91,90,90,90.5
A&N Islands,100,99,99,96,98.5
Chandigarh,98,99,96,96,97.25
D&N Haveli,95,96,97,95,95.75
Daman & Diu,97,97,100,100,98.5
Delhi,100,100,100,100,100
Lakshadweep,100,100,100,100,100
Puducherry,98,97,98,99,98
INDIA,91,90,90,90,90.25
